DESeq2/LimmaVoom/EdgeR,DESeq2/EdgeR,DESeq2/LimmaVoom,EdgeR/LimmaVoom,DESeq2,LimmaVoom,EdgeR
,RP11-778D9.4,,,RP11-732A19.1,,RPS3AP26
,RP11-318K15.2,,,FAM45BP,,Metazoa_SRP
,AC005776.1,,,RPL11P3,,Y_RNA
,PHBP19,,,AC005776.1,,Y_RNA
,RP11-44N11.1,,,GCSHP5,,RN7SL521P
,AC017035.2,,,RPL26P19,,NAMPTP1
,RP11-108M9.4,,,AC007566.10,,RP11-419I17.1
,RP11-1275H24.2,,,AC017035.2,,RPL26P19
,Metazoa_SRP,,,RP11-318K15.2,,GCSHP5
,MIR548P,,,Y_RNA,,RP11-318K15.2
,CTD-2031P19.4,,,Y_RNA,,RP5-1024G6.2
,RPS3AP26,,,Y_RNA,,RP11-732A19.1
,HSPA8P15,,,RP11-419I17.1,,RPS7P11
,RPL21P123,,,UBE2MP1,,AP000240.9
,RN7SL521P,,,AC136289.1,,PHBP19
,RPS7P11,,,AC011551.3,,RP11-157G21.2
,UQCRFS1P1,,,ISCA1P1,,RPL11P3
,RPL7P1,,,CTB-113I20.2,,RPL9P7
,RPS13P2,,,CCDC144CP,,RPL7P1
,,,,PHBP19,,CTC-236F12.4
,,,,RN7SL5P,,CTD-2270P14.5
,,,,RP11-44N11.1,,RP11-108M9.4
,,,,RP11-91P24.1,,UQCRFS1P1
,,,,RN7SL336P,,RP11-44N11.1
,,,,RPL41P5,,AC062017.1
,,,,MIR548P,,AC005776.1
,,,,CTA-941F9.10,,AC017035.2
,,,,CTB-79E8.3,,CH507-528H12.1
,,,,RNU6-817P,,HSPA8P15
,,,,RP11-108M9.4,,MIR548P
,,,,RPSAP36,,RPS13P2
,,,,HSPA8P15,,RPL21P123
,,,,CTD-3001H11.2,,RPL9P9
,,,,MSC-AS1,,RP11-127B20.3
,,,,MYL12BP1,,
,,,,RPL21P123,,
,,,,RPL13AP25,,
,,,,RP11-392O17.2,,
,,,,CTD-2293H3.1,,
,,,,RP11-573D15.8,,
,,,,RN7SL364P,,
,,,,RP11-778D9.4,,
,,,,MIR635,,
,,,,NME2P1,,
,,,,RP11-46I8.1,,
,,,,RNU6-920P,,
,,,,RNU7-181P,,
,,,,RP11-61L19.1,,
,,,,RP11-79L9.2,,
,,,,RP3-522P13.2,,
,,,,RPL7AP66,,
,,,,Metazoa_SRP,,
,,,,PIPSL,,
,,,,SNORA60,,
,,,,GS1-44D20.1,,
,,,,RP1-232L22__B.1,,
,,,,RP11-50D9.1,,
,,,,RPL39P36,,
,,,,RPS3AP5,,
,,,,DDX10P1,,
,,,,RP11-90B9.2,,
,,,,HMGN1P15,,
,,,,RNU6-1176P,,
,,,,RP11-104L21.2,,
,,,,RP11-383G6.3,,
,,,,RNU6-407P,,
,,,,RP3-375P9.2,,
,,,,RP11-1275H24.2,,
,,,,RPS3AP26,,
,,,,SMG1P4,,
,,,,MEG3,,
,,,,CTC-265F19.2,,
,,,,CTD-2165H16.3,,
,,,,RP11-373D23.3,,
,,,,RP11-460I13.6,,
,,,,RP1-228H13.5,,
,,,,RP11-139H15.7,,
,,,,RP11-420C9.1,,
,,,,RPS3AP34,,
,,,,HSP90AB4P,,
,,,,RNU6-611P,,
,,,,BMS1P1,,
,,,,RNU6-1010P,,
,,,,KCNQ1OT1,,
,,,,RN7SL521P,,
,,,,CTD-2031P19.4,,
,,,,HMGN2P4,,
,,,,RN7SL47P,,
,,,,RPS7P11,,
,,,,FAM204BP,,
,,,,RP11-14I17.2,,
,,,,RP11-346C20.3,,
,,,,CPHL1P,,
,,,,RPS13P2,,
,,,,RP11-562A8.1,,
,,,,UQCRFS1P1,,
,,,,RPL7P1,,
