"","Row.names","Log2FoldChange","logCPM","LR","PValue","P.Adjust","chromosome_name","start","end","totalGC","exonGc","intronGc","length","exonLength","GCtile","biotype","gc","gene_name","col"
"1273","ENSG00000233476",0.598419907421384,9.70857364903203,19.1050734411348,1.23715577675562e-05,0.00427493555222554,"chr7",22510616,22511999,0.482658959537572,0.482658959537572,".",1384,1383,"5","processed_pseudogene",48.27,"EEF1A1P6","not"
"1913","ENSG00000248527",-0.726835445855199,12.6634317758889,18.5564218982153,1.64948574347189e-05,0.00522474609244722,"chr1",633696,634376,0.439060205580029,0.439060205580029,".",681,680,"3","unprocessed_pseudogene",43.91,"MTATP6P1","down"
"766","ENSG00000225864",1.47537529912534,4.18750118761479,18.2294361565168,1.95828773477996e-05,0.00531675119992758,"chr6",29722981,29723971,0.63773965691221,0.63773965691221,".",991,990,"8","unprocessed_pseudogene",63.77,"HCG4P11","up"
"3154","ENSG00000271590",-0.797197688731829,6.68476734197403,18.3312586705555,1.85636123538369e-05,0.00531675119992758,"chr2",111210995,111212476,0.383940620782726,0.383940620782726,".",1482,1481,"1","lincRNA",38.39,"RP11-181E10.3","down"
"126","ENSG00000180211",2.06676462536863,4.2856401378327,17.7771345836091,2.48350007801147e-05,0.00629318919768106,"chr6",39958414,39958833,0.49047619047619,0.490476190476191,".",420,419,"5","processed_pseudogene",49.05,"RP1-278E11.3","up"
"1236","ENSG00000233016",0.562520945230637,9.83321238768268,17.4844850983686,2.89661895234143e-05,0.00647649919873517,"chr9",136721366,136728184,0.589382607420443,0.604130963301067,"0.5572472573530648",6819,4339,"8","antisense",58.94,"SNHG7","not"
"1709","ENSG00000242094",-0.939285441160213,6.25123568390303,17.4852413169126,2.8954669948107e-05,0.00647649919873517,"chr3",71570255,71574457,0.367356650011896,0.367338299772268,".",4203,3537,"1","sense_intronic",36.74,"FOXP1-IT1","down"
"255","ENSG00000200183",-1.31388838625232,4.35400518333867,17.0684066111303,3.60571808385113e-05,0.00761407468706564,"chr12",50656973,50657078,0.415094339622642,0.415094339622642,".",106,105,"2","snRNA",41.51,"RNU6-238P","down"
"1363","ENSG00000234797",1.08429424142295,8.01755835174502,16.9028566299139,3.93423306101989e-05,0.00787053677101927,"chr15",59768352,59769146,0.422641509433962,0.422641509433962,".",795,794,"3","processed_pseudogene",42.26,"RPS3AP6","up"
"571","ENSG00000221164",-0.863705424292389,5.28256585380055,16.7360331898444,4.29573235213024e-05,0.00788162950431709,"chr10",73126080,73126207,0.5078125,0.5078125,".",128,127,"6","snoRNA",50.78,"SNORA11","down"
"1941","ENSG00000249264",1.20521233417494,4.17462706107643,16.6220126116347,4.56184817403251e-05,0.00788162950431709,"chr4",105484698,105486080,0.476500361532899,0.476500361532899,".",1383,1382,"5","processed_pseudogene",47.65,"EEF1A1P9","up"
"2718","ENSG00000263266",1.11030054889949,9.42279029134731,16.6944152340984,4.39100730540069e-05,0.00788162950431709,"chr17",28467822,28468406,0.475213675213675,0.475213675213675,".",585,584,"5","processed_pseudogene",47.52,"RPS7P1","up"
"3342","ENSG00000272906",0.619716017461312,6.15442567797867,16.0676403587751,6.11195772928869e-05,0.010100674490881,"chr1",179881607,179882595,0.540950455005056,0.540950455005056,".",989,988,"7","lincRNA",54.1,"RP11-533E19.7","up"
"969","ENSG00000228797",-0.912446000115113,4.65519630447745,15.5465158795471,8.04998659227213e-05,0.012749166265511,"chr13",18697003,18697507,0.625742574257426,0.625742574257426,".",505,504,"8","processed_pseudogene",62.57,"FAM207BP","down"
"2257","ENSG00000256393",0.972850865951582,6.55473248897908,15.4641557648071,8.40847948796436e-05,0.012784252213501,"chr12",93083598,93083675,0.5,0.5,".",78,77,"5","processed_pseudogene",50,"RPL41P5","up"
"199","ENSG00000189343",0.498446890864433,10.9807822222027,15.3141770089314,9.10307745879704e-05,0.0133079990080337,"chr17",19445970,19446852,0.608154020385051,0.608154020385051,".",883,882,"8","processed_pseudogene",60.82,"RPS2P46","not"
"683","ENSG00000224672",-0.722968699081178,6.51275540398552,14.8690685400327,0.000115237169577743,0.0162228326505556,"chr2",201102089,201102957,0.439585730724971,0.403703797661781,".",869,553,"2","processed_pseudogene",43.96,"AC007272.3","down"
"2119","ENSG00000253683",0.920346499586135,6.3411934116093,14.4035169321907,0.000147526529394221,0.0200267263652655,"chr5",172656522,172656713,0.510416666666667,0.510416666666667,".",192,191,"6","processed_pseudogene",51.04,"CTB-79E8.3","up"
"13","ENSG00000108958",-1.23617980255558,4.284633291212,14.0202577126645,0.000180851694800169,0.0221747513527562,"chr17",1858039,1858446,0.522058823529412,0.522058823529412,".",408,407,"6","processed_pseudogene",52.21,"AC016292.3","down"
"1470","ENSG00000236535",-1.18295102460499,4.69673255670313,14.033028242304,0.000179627653319428,0.0221747513527562,"chr1",174009267,174016206,0.393948126801153,0.471012214666291,".",6940,446,"5","sense_intronic",39.39,"RC3H1-IT1","down"
"2100","ENSG00000253438",-0.806627784045934,6.36493039284141,14.0660569128519,0.00017650044817589,0.0221747513527562,"chr8",126847055,127021014,0.3922798344447,0.461295082876024,"0.39271860501780176",173960,2309,"4","lincRNA",39.23,"PCAT1","down"
"2219","ENSG00000255449",-0.703232476923276,6.04872344373878,13.8889435836352,0.000193935985173204,0.0230359587388546,"chr11",77866412,77870091,0.444565217391304,0.470503040633952,".",3680,710,"5","antisense",44.46,"RP11-91P24.6","down"
"2792","ENSG00000265735",1.21341360130657,4.11240525559378,13.7773745838106,0.000205799842785079,0.0232786115824202,"chr9",9442060,9442380,0.576323987538941,0.576323987538941,".",321,320,"7","misc_RNA",57.63,"RN7SL5P","up"
"3348","ENSG00000272918",-0.67191194827023,6.46509453784065,13.7553445873965,0.000208227517443379,0.0232786115824202,"chr7",105102838,105105483,0.385109599395314,0.385109599395314,".",2646,2645,"1","antisense",38.51,"CTB-152G17.6","down"
"2081","ENSG00000252908",-1.1275860122582,6.28844741990237,13.6199865454039,0.000223790289054796,0.0239494840373495,"chr5",17240611,17240715,0.371428571428571,0.371428571428571,".",105,104,"1","snRNA",37.14,"RNU6-1003P","down"
"3289","ENSG00000272599",-0.714500659486579,6.23913034991278,13.5687555411801,0.000229981805397094,0.0239494840373495,"chr10",73124573,73125532,0.40625,0.40625,".",960,959,"2","antisense",40.62,"RP11-152N13.16","down"
"3652","ENSG00000277383",0.860884227368424,5.3780436700893,13.5432286951963,0.000233130994312532,0.0239494840373495,"chr19",47607873,47608454,0.654639175257732,0.654639175257732,".",582,581,"8","antisense",65.46,"CTD-3001H11.2","up"
"35","ENSG00000136149",0.678332737222064,8.05732303348863,13.269493856048,0.000269760027874811,0.0256339466488039,"chr13",54440704,54441315,0.571895424836601,0.571895424836601,".",612,611,"7","processed_pseudogene",57.19,"RPL13AP25","up"
"1612","ENSG00000239763",-0.537734261441702,7.19303897093003,13.2759665460638,0.000268830252114902,0.0256339466488039,"chr16",74312609,74313390,0.501278772378517,0.467188834328223,".",782,471,"4","processed_pseudogene",50.13,"AC009120.3","not"
"3757","ENSG00000281344",-1.6118564751994,7.41914882637398,13.3013397952134,0.000265216530487952,0.0256339466488039,"chr12",102197585,102402596,0.378060796441184,0.378060796441184,".",205012,205011,"1","macro_lncRNA",37.81,"HELLPAR","down"
"925","ENSG00000228205",1.15386481309777,4.64914770792754,12.807924650074,0.000345154231097364,0.0297953301858946,"chr3",184149704,184150435,0.521857923497268,0.521857923497268,".",732,731,"6","processed_pseudogene",52.19,"RP11-778D9.4","up"
"1699","ENSG00000241772",-0.815243539385045,7.40746815333689,12.8634570718773,0.000335061038100319,0.0297953301858946,"chr2",138569090,138574458,0.327435276587819,0.373950479503203,".",5369,1048,"1","3prime_overlapping_ncRNA",32.74,"AC092620.2","down"
"2077","ENSG00000252498",-0.889064711258608,6.27885339346786,12.8143791169028,0.000343965536509366,0.0297953301858946,"chr6",75644084,75644177,0.361702127659574,0.361702127659575,".",94,93,"1","snRNA",36.17,"RNU6-1016P","down"
"2753","ENSG00000264281",0.9375640641992,7.85734518453801,12.9136856473941,0.000326188370385298,0.0297953301858946,"chr5",55944656,55944733,0.5,0.5,".",78,77,"5","processed_pseudogene",50,"CTD-2031P19.4","up"
"3783","ENSG00000283045",-1.05670478849578,5.84636491812222,12.767220465062,0.000352746608357078,0.0297953301858946,"chr17",44486153,44486815,0.336349924585219,0.336349924585219,".",663,662,"1","sense_intronic",33.63,"RP11-764D10.2","down"
"1983","ENSG00000250170",-1.18451361188107,5.38974194539536,12.7102420189852,0.000363658360714557,0.0300492484581746,"chr3",141525133,141526121,0.404448938321537,0.375814466187016,".",989,610,"1","sense_intronic",40.44,"RASA2-IT1","down"
"751","ENSG00000225630",-0.754193962176274,10.7385316469938,12.4924263527827,0.000408605151289423,0.0318422605280727,"chr1",629640,630683,0.431034482758621,0.431034482758621,".",1044,1043,"3","unprocessed_pseudogene",43.1,"MTND2P28","down"
"3333","ENSG00000272831",0.47369247137642,7.6314310394964,12.5185834358308,0.00040292425936816,0.0318422605280727,"chr7",66739829,66740385,0.495511669658887,0.495511669658887,".",557,556,"5","antisense",49.55,"RP11-792A8.4","not"
"3356","ENSG00000272953",0.803577442750031,5.61679895097114,12.4838308188876,0.000410489546402411,0.0318422605280727,"chr7",5425770,5426401,0.549050632911392,0.549050632911392,".",632,631,"7","lincRNA",54.91,"RP11-1275H24.2","up"
"493","ENSG00000215030",0.585663821142868,10.5312109492466,12.2837581406684,0.000456917339088164,0.0347348561174822,"chr17",17383377,17384012,0.613207547169811,0.613207547169811,".",636,635,"8","processed_pseudogene",61.32,"RPL13P12","not"
"470","ENSG00000214389",0.980733461774523,7.90130680609947,12.1281943961445,0.000496651837813849,0.0356183704817064,"chr7",98385801,98386584,0.431122448979592,0.431122448979592,".",784,783,"3","processed_pseudogene",43.11,"RPS3AP26","up"
"809","ENSG00000226287",0.563455637525066,7.67419644740806,12.1800869582401,0.000483023924261659,0.0356183704817064,"chr22",20701114,20704606,0.618379616375608,0.597601406352252,"0.6979583133162985",3493,2881,"8","transcribed_unprocessed_pseudogene",61.84,"TMEM191A","not"
"3732","ENSG00000279800",-0.753826108076794,5.50148955092912,12.153609705942,0.000489929503979391,0.0356183704817064,"chr16",34266041,34268649,0.424683786891529,0.424683786891529,".",2609,2608,"3","processed_pseudogene",42.47,"BCLAF1P2","down"
"3717","ENSG00000278771",0.993030627745854,4.51739655869531,12.0816918638374,0.000509193696096904,0.0358415784974877,"chr14",49853616,49853914,0.622073578595318,0.622073578595318,".",299,298,"8","misc_RNA",62.21,"Metazoa_SRP","up"
"279","ENSG00000202382",-1.12279590084238,4.43657501484947,11.9759890141824,0.000538904565670134,0.0372432046202214,"chr2",85367585,85367686,0.441176470588235,0.441176470588235,".",102,101,"3","misc_RNA",44.12,"Y_RNA","down"
"1667","ENSG00000240877",1.04054965876798,4.09096887984274,11.9118286106527,0.000557786183405593,0.0378597371986546,"chr7",149125690,149125986,0.673400673400673,0.673400673400673,".",297,296,"8","misc_RNA",67.34,"RN7SL521P","up"
"569","ENSG00000220842",0.560076058489725,9.89800638132975,11.8451854283805,0.000578106185078566,0.0378858898186832,"chr10",120354701,120355183,0.432712215320911,0.432712215320911,".",483,482,"3","processed_pseudogene",43.27,"RPL21P16","not"
"1020","ENSG00000229644",-0.607528689055369,11.9238278513442,11.8576365112669,0.000574253781283231,0.0378858898186832,"chr10",36521721,36524234,0.346857597454256,0.346857597454256,".",2514,2513,"1","processed_pseudogene",34.69,"NAMPTP1","down"
"3527","ENSG00000274963",-0.517756555450958,8.93275355861048,11.8124710990596,0.000588352921539949,0.0379025560902483,"chr1",150568971,150569269,0.508361204013378,0.508361204013378,".",299,298,"6","misc_RNA",50.84,"RN7SL600P","not"
"3800","ENSG00000283674",-0.74810558094946,6.24406706786089,11.7812468635714,0.000598303963539831,0.0379025560902483,"chr8",12537079,12665588,0.454843981013151,0.532676858242059,"0.44961272344637104",128510,5040,"6","lincRNA",45.48,"RP11-419I17.1","down"
"800","ENSG00000226221",0.914735209834831,6.58278634938162,11.7492419650294,0.000608680232061366,0.0379277633125451,"chr5",56504635,56505072,0.438356164383562,0.438356164383562,".",438,437,"3","processed_pseudogene",43.84,"RPL26P19","up"
"690","ENSG00000224837",0.97050824182497,4.55598332564876,11.6422581525439,0.000644702911006353,0.0395244478183088,"chr1",168055901,168056422,0.492337164750958,0.492337164750958,".",522,521,"5","processed_pseudogene",49.23,"GCSHP5","up"
"1481","ENSG00000236723",-0.660158721691065,5.34850808488786,11.5715588772791,0.000669682517857044,0.0397728632871035,"chr1",53209783,53213775,0.472577009767092,0.467733701834982,"0.4935064935064935",3993,1223,"4","antisense",47.26,"RP5-1024G6.2","down"
"2143","ENSG00000254325",-0.702695465325379,7.40133038847932,11.5833131743292,0.000665462706958689,0.0397728632871035,"chr8",55893595,55895739,0.455477855477855,0.398253700280547,".",2145,671,"2","sense_intronic",45.55,"RP11-318K15.2","down"
"2646","ENSG00000261526",0.49305214431937,7.54813333961651,11.5093544173122,0.000692468235175975,0.0404934117215981,"chr19",1874871,1876169,0.553502694380293,0.553502694380293,".",1299,1298,"7","lincRNA",55.35,"CTB-31O20.2","not"
"1694","ENSG00000241678",-0.669633740895897,6.76600015789814,11.4747068369369,0.000705497753019337,0.0406302569579773,"chr11",6685891,6686369,0.419624217118998,0.419624217118998,".",479,478,"3","processed_pseudogene",41.96,"RP11-732A19.1","down"
"415","ENSG00000213326",0.91508900829283,7.60740178542883,11.4456749981615,0.000716605971418047,0.040654019363582,"chr17",46721582,46722167,0.477815699658703,0.477815699658703,".",586,585,"5","processed_pseudogene",47.78,"RPS7P11","up"
"1607","ENSG00000239569",0.460656727261729,7.63425132836028,11.4149646431259,0.000728548833330508,0.0407237369924891,"chr7",105013425,105014321,0.644370122630992,0.641213432560325,".",897,734,"8","antisense",64.44,"KMT2E-AS1","not"
"1111","ENSG00000230979",0.56157069106772,6.13728960582392,11.3610829315325,0.000749990822137615,0.0413147118107982,"chr2",47690716,47691246,0.5969868173258,0.5969868173258,".",531,530,"8","processed_pseudogene",59.7,"AC079250.1","not"
"430","ENSG00000213613",-0.654420435246045,8.32530112845582,11.2518209225882,0.000795449422736393,0.0423619527171724,"chr10",87945502,87946024,0.462715105162524,0.462715105162524,".",523,522,"4","processed_pseudogene",46.27,"RPL11P3","down"
"1577","ENSG00000238103",0.918647709885781,7.16383835699796,11.2547410342989,0.000794199016645092,0.0423619527171724,"chrX",23836742,23837321,0.432758620689655,0.432758620689655,".",580,579,"3","processed_pseudogene",43.28,"RPL9P7","up"
"1938","ENSG00000249129",-0.542789949029908,6.15416659771892,11.1598402451582,0.000835871205942628,0.0423619527171724,"chr5",177971316,177972281,0.509316770186335,0.509316770186335,".",966,965,"6","processed_pseudogene",50.93,"SUDS3P1","not"
"2235","ENSG00000255836",1.1082516563429,5.11479221664026,11.1711441653576,0.000830793762650296,0.0423619527171724,"chr12",7438780,7439990,0.46242774566474,0.46242774566474,".",1211,1210,"4","processed_pseudogene",46.24,"RP11-157G21.2","up"
"2291","ENSG00000257246",-0.880462210986338,5.90278549502471,11.1991521097191,0.000818347165268584,0.0423619527171724,"chr12",51124628,51125381,0.515915119363395,0.515915119363395,".",754,753,"6","processed_pseudogene",51.59,"PHBP19","down"
"3370","ENSG00000273017",-0.741027097272252,6.63182401408152,11.1806087762347,0.000826566475208963,0.0423619527171724,"chr21",29359002,29359453,0.278761061946903,0.278761061946903,".",452,451,"1","sense_intronic",27.88,"AP000240.9","down"
"476","ENSG00000214485",0.833008472187588,10.4065563746822,11.0754231704956,0.00087479453619143,0.0437512372639951,"chr5",150094302,150095048,0.435073627844712,0.435073627844712,".",747,746,"3","processed_pseudogene",43.51,"RPL7P1","up"
"1581","ENSG00000238142",0.617985833413088,7.27172105070551,11.0155532199651,0.000903505566052693,0.0437824887824678,"chr1",16888538,16889649,0.568345323741007,0.533283653588139,".",1112,505,"6","lincRNA",56.83,"RP11-108M9.4","up"
"1922","ENSG00000248727",-0.753119278636115,5.22851645753275,11.00232754046,0.000909975431153631,0.0437824887824678,"chr5",56457795,56481946,0.43255216959258,0.517674906910102,"0.4151759081429563",24152,853,"6","lincRNA",43.26,"CTC-236F12.4","down"
"3628","ENSG00000276791",0.640150087440374,6.76434794185646,11.006143471953,0.000908103924405369,0.0437824887824678,"chr16",2777319,2780568,0.588615384615385,0.588615384615385,".",3250,3249,"8","lincRNA",58.86,"CTD-2270P14.5","up"
"588","ENSG00000222057",-0.580410373665844,7.18900499459328,10.9481554453773,0.000936968438452311,0.044111926976221,"chr3",121655475,121655604,0.392307692307692,0.392307692307692,".",130,129,"2","snRNA",39.23,"RNU4-62P","not"
"790","ENSG00000226085",0.806365389321573,4.42020065454821,10.9421048561145,0.00094003317155325,0.044111926976221,"chr22",39875289,39876108,0.539024390243902,0.539024390243902,".",820,819,"7","processed_pseudogene",53.9,"UQCRFS1P1","up"
"2097","ENSG00000253372",-0.75534593288705,6.53239057072461,10.89972039751,0.000961787767111698,0.0445823817413606,"chr8",122807746,122816517,0.44015047879617,0.429193557196354,"0.45566105934059564",8772,1011,"3","sense_intronic",44.02,"RP11-44N11.1","down"
"585","ENSG00000222020",0.728365857523058,5.21621142619166,10.8722070668177,0.000976181284713759,0.0447043983517711,"chr2",239401436,239402364,0.640473627556512,0.621387151105681,".",929,610,"8","antisense",64.05,"AC062017.1","up"
"815","ENSG00000226360",0.435556016394085,7.40440727772217,10.8206322994547,0.00100375203544515,0.0454197796038932,"chr3",61742455,61743106,0.516871165644172,0.516871165644172,".",652,651,"6","processed_pseudogene",51.69,"RPL10AP6","not"
"265","ENSG00000200953",-1.00739756945919,5.01262628617184,10.6285579532486,0.0011135451471376,0.0472856659828239,"chr12",51156868,51156977,0.381818181818182,0.381818181818182,".",110,109,"1","misc_RNA",38.18,"Y_RNA","down"
"555","ENSG00000219395",-0.993010550468459,4.28894261782085,10.6192945943175,0.00111913731535697,0.0472856659828239,"chr6",151411259,151413945,0.470413100111649,0.450376772469816,".",2687,784,"4","processed_pseudogene",47.04,"HSPA8P15","down"
"573","ENSG00000221263",-0.825347725312777,5.44580058411157,10.6184823178556,0.00111962902879615,0.0472856659828239,"chr5",100816482,100816565,0.285714285714286,0.285714285714286,".",84,83,"1","miRNA",28.57,"MIR548P","down"
"668","ENSG00000224442",-0.652994801218317,7.76636748319058,10.6944648504214,0.00107456552598002,0.0472856659828239,"chr2",197028711,197030143,0.436147941381717,0.444839483050994,".",1433,1113,"4","processed_pseudogene",43.61,"AC017035.2","down"
"3118","ENSG00000270802",-0.631770036862784,5.88438590733537,10.6791701009961,0.00108348658866208,0.0472856659828239,"chr19",15338948,15339237,0.379310344827586,0.379310344827586,".",290,289,"1","processed_pseudogene",37.93,"AC005776.1","down"
"3741","ENSG00000280441",-1.35630405771113,5.86683645743466,10.6470269010375,0.00110247990142404,0.0472856659828239,"chr21",8380665,8410645,0.610553350455288,0.549665453140474,"0.6186718733173712",29981,2491,"7","lincRNA",61.06,"CH507-528H12.1","down"
"982","ENSG00000228929",0.720994520817021,7.27809016410354,10.5768633662857,0.00114511786774374,0.0478306924757578,"chr1",52772194,52772648,0.450549450549451,0.450549450549451,".",455,454,"4","processed_pseudogene",45.05,"RPS13P2","up"
"1652","ENSG00000240531",-0.785900891232312,5.54992015163618,10.508714807902,0.00118812861422737,0.049087791985633,"chr17",29716279,29716685,0.412776412776413,0.412776412776413,".",407,406,"2","transcribed_processed_pseudogene",41.28,"RPL21P123","down"
"1533","ENSG00000237550",1.00412373318777,12.5123360359039,10.4689975305157,0.00121394574558756,0.0492614702481113,"chr15",82372196,82372912,0.418410041841004,0.434104299587208,".",717,1106,"3","transcribed_processed_pseudogene",41.84,"RPL9P9","up"
"2283","ENSG00000257122",-0.328200008533557,8.69258638355669,10.4624550860529,0.00121825261860628,0.0492614702481113,"chr16",22418672,22437715,0.489813064482252,0.537182908920641,"0.48116574801222234",19044,3359,"7","transcribed_unprocessed_pseudogene",48.98,"RRN3P3","not"
"3306","ENSG00000272677",0.911850051600546,5.03977392406418,10.4339796058082,0.00123717879683739,0.049500174808199,"chr4",82374301,82384027,0.451937904801069,0.512165854542407,".",9727,904,"6","antisense",45.19,"RP11-127B20.3","up"
"437","ENSG00000213740",-0.50081232456774,7.42696437606364,10.3772036560172,0.00127580778758143,0.0505140145895524,"chrX",68783472,68785066,0.469592476489028,0.511157692584881,".",1595,1158,"6","processed_pseudogene",46.96,"SERBP1P1","not"
"2770","ENSG00000264895",-0.492247410287402,8.83138970145178,10.3560780437319,0.00129049080624438,0.0505686139642772,"chr17",51249579,51251748,0.36405529953917,0.36405529953917,".",2170,2169,"1","sense_intronic",36.41,"RP11-421E14.2","not"
"2837","ENSG00000266805",-1.25589996931082,4.02155414827124,10.3129472069014,0.00132100151720698,0.0512359874173851,"chr18",9506242,9509726,0.385078909612626,0.385078909612626,".",3485,3484,"1","sense_intronic",38.51,"RP11-61L19.1","not"
"2932","ENSG00000267672",-1.17811265730211,4.43389113221931,10.2937096023088,0.00133484466958579,0.0512499453444,"chr19",37091341,37092564,0.413398692810457,0.413398692810457,".",1224,1223,"2","sense_intronic",41.34,"CTD-2293H3.1","not"
"1366","ENSG00000234851",0.297183377103861,10.1982765181104,10.2708607510551,0.00135147736540886,0.0513696546591909,"chr3",161429127,161429597,0.492569002123142,0.492569002123142,".",471,470,"5","processed_pseudogene",49.26,"RPL23AP42","not"
"1684","ENSG00000241494",0.857388632409466,6.81151917126679,10.238301777998,0.00137554168783112,0.0517666728261987,"chr14",101677943,101678380,0.438356164383562,0.438356164383562,".",438,437,"3","processed_pseudogene",43.84,"RP11-796G6.1","not"
"2084","ENSG00000253043",-0.881425682689245,6.3745204904003,10.1798713927719,0.00141982084058803,0.0529092060301481,"chr8",130004528,130004601,0.364864864864865,0.364864864864865,".",74,73,"1","snRNA",36.49,"RNU7-181P","not"
"1179","ENSG00000232229",0.675325115203555,5.88536895663806,10.1478821572423,0.00144467116756456,0.0530262541119875,"chr10",89829510,89840861,0.4211592670895,0.475926751966099,"0.3697525206232814",11352,4268,"5","lincRNA",42.12,"LINC00865","not"
"1700","ENSG00000241782",-0.798721079907299,5.56762296921373,10.1399982086218,0.00145086304331668,0.0530262541119875,"chr11",77868722,77869195,0.434599156118143,0.434599156118143,".",474,473,"3","processed_pseudogene",43.46,"RP11-91P24.1","not"
"1437","ENSG00000235919",0.558576223987728,6.03975694819769,10.1148077422942,0.00147082775923587,0.0532439648843384,"chr1",155562042,155563944,0.620599054125066,0.567358157101892,".",1903,1207,"7","antisense",62.06,"ASH1L-AS1","not"
"290","ENSG00000203739",-0.463931239858931,7.56916755944325,10.0648967656169,0.00151121033230523,0.0536832754494596,"chr1",173417793,173461362,0.403098462244664,0.493480043578922,"0.4124084249084249",43570,2278,"5","antisense",40.31,"RP11-296O14.3","not"
"860","ENSG00000227063",0.61949241793998,8.53383454776882,10.0813496674761,0.00149777584523996,0.0536832754494596,"chr20",21755270,21755350,0.506172839506173,0.506172839506173,".",81,80,"6","processed_pseudogene",50.62,"RPL41P1","not"
"1985","ENSG00000250197",-0.887424271321026,4.98914845078674,9.95250545216791,0.00160630636403259,0.0565330600897025,"chr5",115289036,115289330,0.430508474576271,0.430508474576271,".",295,294,"3","processed_pseudogene",43.05,"HMGN1P15","not"
"1265","ENSG00000233411",-0.742898962242137,6.84281062545874,9.90348024673816,0.0016496650287397,0.0575263924242165,"chr1",167457383,167458661,0.479280688037529,0.468656897606191,".",1279,301,"4","sense_intronic",47.93,"RP11-104L21.2","not"
"161","ENSG00000184319",0.390385785636458,7.4281150463978,9.85361642765093,0.00169498226277998,0.0582880591002041,"chr22",50756948,50801309,0.445426265722916,0.433772730958184,"0.4638715245089955",44362,4244,"3","transcribed_unprocessed_pseudogene",44.54,"RPL23AP82","not"
"747","ENSG00000225528",-0.452855343695908,7.54654272175108,9.8362925836456,0.00171102004976279,0.0582880591002041,"chr22",39960397,39964718,0.451642757982416,0.450076838617366,".",4322,1320,"4","transcribed_processed_pseudogene",45.16,"RP3-370M22.8","not"
"2444","ENSG00000259767",-0.907718093747072,4.42769779460018,9.82932692000941,0.00171751187035592,0.0582880591002041,"chr15",83022236,83024336,0.420752022846264,0.409708813605601,".",2101,452,"2","sense_intronic",42.08,"RP11-90B9.2","not"
"20","ENSG00000123009",1.15390783805807,4.50048345330986,9.63403264582871,0.001910047763822,0.0603574934116329,"chr12",120282303,120282716,0.528985507246377,0.528985507246377,".",414,413,"6","processed_pseudogene",52.9,"NME2P1","not"
"92","ENSG00000175886",0.769318222472482,5.31185315152816,9.59417711162297,0.0019519538245682,0.0603574934116329,"chr18",39334872,39335672,0.533083645443196,0.533083645443196,".",801,800,"6","processed_pseudogene",53.31,"RPL7AP66","not"
"392","ENSG00000212257",-1.11271541811255,5.03236997151004,9.62995585319757,0.00191429209923268,0.0603574934116329,"chr1",65022968,65023074,0.280373831775701,0.280373831775701,".",107,106,"1","snRNA",28.04,"RNU6-1176P","not"
