"","Row.names","Log2FoldChange","AveExpr","t","P.Value","P.Adjust","B","chromosome_name","start","end","totalGC","exonGc","intronGc","length","exonLength","GCtile","biotype","gc","gene_name","col"
"1667","ENSG00000240877",1.25601637125065,3.28917156670101,4.49222122190044,1.53100982227447e-05,0.00484947361205439,2.74434957342539,"chr7",149125690,149125986,0.673400673400673,0.673400673400673,".",297,296,"8","misc_RNA",67.34,"RN7SL521P","up"
"521","ENSG00000215908",0.478983296588916,10.678378918868,4.38017455008183,2.40600912078141e-05,0.00703480051391548,2.09865618236171,"chr1",16618969,16644683,0.535757340073887,0.636022049061093,"0.5248275460608572",25715,3928,"8","transcribed_unprocessed_pseudogene",53.58,"CROCCP2","not"
"790","ENSG00000226085",1.12167952899099,3.79812095228082,4.3433433925159,2.78685377979117e-05,0.00756630801213303,2.27272039064584,"chr22",39875289,39876108,0.539024390243902,0.539024390243902,".",820,819,"7","processed_pseudogene",53.9,"UQCRFS1P1","up"
"3154","ENSG00000271590",-0.798912082429113,6.36481274510084,-4.23028919132896,4.35265759126154e-05,0.0110296343362567,1.83405663946654,"chr2",111210995,111212476,0.383940620782726,0.383940620782726,".",1482,1481,"1","lincRNA",38.39,"RP11-181E10.3","down"
"646","ENSG00000224066",0.832609551053004,5.39397917375488,4.18348123560154,5.22304189006205e-05,0.0124079888900787,1.73821621773665,"chr1",32204769,32206814,0.592375366568915,0.579949904209921,"0.6242860472440072",2046,1352,"7","antisense",59.24,"RP4-622L5.7","up"
"255","ENSG00000200183",-1.39173604224694,3.3503233545597,-4.11487318874864,6.80592936564015e-05,0.0136501199089605,1.46055986095482,"chr12",50656973,50657078,0.415094339622642,0.415094339622642,".",106,105,"2","snRNA",41.51,"RNU6-238P","down"
"1111","ENSG00000230979",0.707394252623819,5.86143600795983,4.0704043584477,8.06700068910215e-05,0.0136501199089605,1.3158838257195,"chr2",47690716,47691246,0.5969868173258,0.5969868173258,".",531,530,"8","processed_pseudogene",59.7,"AC079250.1","up"
"1550","ENSG00000237842",-1.4641659837277,2.72424009070672,-4.09766281558881,7.26982286512023e-05,0.0136501199089605,1.37174295689675,"chr1",157059232,157060762,0.441541476159373,0.441541476159373,".",1531,1530,"3","processed_pseudogene",44.15,"RP11-110J1.2","down"
"2346","ENSG00000258424",1.44495254363096,3.22735348009969,4.06633634949039,8.19291212793656e-05,0.0136501199089605,1.29848138969677,"chr14",90402523,90405235,0.38997419830446,0.433274386058572,".",2713,298,"3","antisense",39,"RP11-471B22.2","up"
"3233","ENSG00000272256",1.1090255391385,3.7549464367468,4.13118778618313,6.3924355850524e-05,0.0136501199089605,1.54573239134908,"chr8",30082758,30083467,0.684507042253521,0.684507042253521,".",710,709,"8","antisense",68.45,"RP11-489E7.4","up"
"3289","ENSG00000272599",-0.817927541650569,5.88455527523353,-4.08727035789309,7.56443243351935e-05,0.0136501199089605,1.36093108993194,"chr10",73124573,73125532,0.40625,0.40625,".",960,959,"2","antisense",40.62,"RP11-152N13.16","down"
"3333","ENSG00000272831",0.569220065354024,7.46809227310257,4.06420142249811,8.25974106566936e-05,0.0136501199089605,1.1706626493541,"chr7",66739829,66740385,0.495511669658887,0.495511669658887,".",557,556,"5","antisense",49.55,"RP11-792A8.4","not"
"571","ENSG00000221164",-0.867701146829671,4.83887245428072,-4.0403691851394,9.04201477554746e-05,0.0137474792647424,1.25347941918462,"chr10",73126080,73126207,0.5078125,0.5078125,".",128,127,"6","snoRNA",50.78,"SNORA11","down"
"716","ENSG00000225178",0.696076895904369,9.7727466811035,4.04140204103468,9.00669239457408e-05,0.0137474792647424,0.923400803873136,"chr19",23827162,23828049,0.523648648648649,0.523648648648649,".",888,887,"6","processed_pseudogene",52.36,"RPSAP58","up"
"751","ENSG00000225630",-0.922319634773832,10.3789791084681,-4.02836119403119,9.46250775168407e-05,0.0138334584477504,0.819513216426848,"chr1",629640,630683,0.431034482758621,0.431034482758621,".",1044,1043,"3","unprocessed_pseudogene",43.1,"MTND2P28","down"
"3717","ENSG00000278771",1.20171450509178,3.7072326214809,3.98583806247105,0.00011106828199088,0.0156359459202717,1.05787328470519,"chr14",49853616,49853914,0.622073578595318,0.622073578595318,".",299,298,"8","misc_RNA",62.21,"Metazoa_SRP","up"
"1273","ENSG00000233476",0.495383820740861,9.52733144643981,3.93404544790713,0.000134789480514904,0.0182976719798982,0.559347023171862,"chr7",22510616,22511999,0.482658959537572,0.482658959537572,".",1384,1383,"5","processed_pseudogene",48.27,"EEF1A1P6","not"
"1143","ENSG00000231663",0.842382320507627,5.12335595505962,3.91388528115824,0.000145269170821839,0.0190402799411658,0.825164826296038,"chr1",234372807,234373593,0.485387547649301,0.474677765379183,".",787,573,"5","antisense",48.54,"RP5-827C21.4","up"
"3652","ENSG00000277383",0.990471927310058,4.86514936427413,3.88189234628757,0.000163508185104084,0.0207164870526875,0.725924029244323,"chr19",47607873,47608454,0.654639175257732,0.654639175257732,".",582,581,"8","antisense",65.46,"CTD-3001H11.2","up"
"1032","ENSG00000229816",-1.29556758493105,2.80101714568986,-3.82696015811898,0.000200010594049421,0.0242604659166532,0.525555457939708,"chr2",32201600,32203999,0.426666666666667,0.426666666666667,".",2400,2399,"3","processed_pseudogene",42.67,"DDX50P1","down"
"1612","ENSG00000239763",-0.595347382739477,6.98468150056457,-3.82121778248227,0.000204244911689793,0.0242604659166532,0.361052418588505,"chr16",74312609,74313390,0.501278772378517,0.467188834328223,".",782,471,"4","processed_pseudogene",50.13,"AC009120.3","not"
"493","ENSG00000215030",0.587111293219484,10.2878707262983,3.70236945580731,0.000313551450876537,0.0347077065719965,-0.290434531147596,"chr17",17383377,17384012,0.613207547169811,0.613207547169811,".",636,635,"8","processed_pseudogene",61.32,"RPL13P12","not"
"809","ENSG00000226287",0.632632930389221,7.43150365899859,3.70787369129158,0.000307452655575958,0.0347077065719965,-0.0454354313343774,"chr22",20701114,20704606,0.618379616375608,0.597601406352252,"0.6979583133162985",3493,2881,"8","transcribed_unprocessed_pseudogene",61.84,"TMEM191A","up"
"1616","ENSG00000239911",0.565867129446354,6.09362385930782,3.69701669783875,0.000319592141546929,0.0347077065719965,0.0404465981829807,"chr7",151877042,151879223,0.6012832263978,0.548518474319378,"0.7456896551724137",2182,1160,"7","antisense",60.13,"PRKAG2-AS1","not"
"969","ENSG00000228797",-1.07512899843208,3.92824677492017,-3.67615008164285,0.000344208767978201,0.0360947402319994,0.0803533268132668,"chr13",18697003,18697507,0.625742574257426,0.625742574257426,".",505,504,"8","processed_pseudogene",62.57,"FAM207BP","down"
"3237","ENSG00000272277",0.894900125272235,4.35728044389548,3.67035576765729,0.000351356324278868,0.0360947402319994,0.0602071226657834,"chr6",3068045,3068894,0.650588235294118,0.650588235294118,".",850,849,"8","antisense",65.06,"RP1-40E16.12","up"
"2749","ENSG00000264235",1.46958851257337,5.13960752809183,3.65961246152589,0.000364981706003856,0.0365077753821225,0.00996584785262211,"chr18",3255436,3261850,0.404053000779423,0.454468327058065,"0.3424317617866005",6415,1060,"4","antisense",40.41,"RP13-270P17.1","up"
"1020","ENSG00000229644",-0.620246816921508,11.6452499942947,-3.63709883087094,0.000395172490995441,0.0382026196662752,-0.623587229435481,"chr10",36521721,36524234,0.346857597454256,0.346857597454256,".",2514,2513,"1","processed_pseudogene",34.69,"NAMPTP1","down"
"1470","ENSG00000236535",-1.15699576687858,3.73807804922834,-3.62899899702203,0.000406600439903372,0.0382026196662752,-0.0636664378588154,"chr1",174009267,174016206,0.393948126801153,0.471012214666291,".",6940,446,"5","sense_intronic",39.39,"RC3H1-IT1","down"
"3445","ENSG00000273599",0.986769695365701,4.3978929360278,3.61833121996123,0.000422128394102488,0.0382026196662752,-0.100795803197458,"chr10",124996064,125001491,0.590456890198968,0.590456890198968,".",5428,5427,"8","antisense",59.05,"RP11-59C5.3","up"
"3470","ENSG00000274012",0.543839679917253,12.4696052074409,3.62174291509818,0.000417102440013159,0.0382026196662752,-0.728150240842543,"chr14",49862550,49862849,0.626666666666667,0.626666666666667,".",300,299,"8","misc_RNA",62.67,"RN7SL2","not"
"597","ENSG00000222858",-0.89734853751201,5.4636038393522,-3.60735765527177,0.00043868479655767,0.0387776956212954,-0.198685225108016,"chr17",29641611,29641702,0.41304347826087,0.41304347826087,".",92,91,"2","snRNA",41.3,"RNU6-920P","down"
"3306","ENSG00000272677",1.13181844373954,4.32671429064864,3.58691743079943,0.000471171159863402,0.0397982573031287,-0.194804451966069,"chr4",82374301,82384027,0.451937904801069,0.512165854542407,".",9727,904,"6","antisense",45.19,"RP11-127B20.3","up"
"3555","ENSG00000275457",0.989370219767713,3.62713933008857,3.59306977646172,0.000461161646366308,0.0397982573031287,-0.173230072085071,"chr20",21302731,21303704,0.630390143737166,0.630390143737166,".",974,973,"8","antisense",63.04,"RP1-198K11.5","up"
"3036","ENSG00000269821",-0.684818326302775,7.41048710066282,-3.57385228558768,0.000493111284356393,0.0407459998225794,-0.485284773386729,"chr11",2608328,2699994,0.437169319384293,0.437169319384293,".",91667,91666,"3","antisense",43.72,"KCNQ1OT1","down"
"2803","ENSG00000265982",0.887688161603283,6.59156272840508,3.52765209169058,0.000578670481319553,0.0458320945581846,-0.544785815500283,"chr17",64778842,64778937,0.729166666666667,0.729166666666667,".",96,95,"8","unprocessed_pseudogene",72.92,"RP11-927P21.4","up"
"3385","ENSG00000273149",1.1680214250533,9.10283685547532,3.52759748961895,0.000578779410363815,0.0458320945581846,-0.751624289496977,"chr13",45340039,45341183,0.593013100436681,0.496392431590923,".",1145,586,"5","antisense",59.3,"RP11-290D2.6","up"
"2685","ENSG00000262265",-0.687466884959854,6.39824606729856,-3.50863361652344,0.000617802020244344,0.0479237852846684,-0.602173563238326,"chr17",47161075,47162064,0.433333333333333,0.381282897997298,".",990,399,"1","sense_intronic",43.33,"RP5-867C24.4","down"
"585","ENSG00000222020",0.868025190993984,4.7366933780535,3.49235192864457,0.000653267822701281,0.0496614198817514,-0.496802676930759,"chr2",239401436,239402364,0.640473627556512,0.621387151105681,".",929,610,"8","antisense",64.05,"AC062017.1","up"
"3312","ENSG00000272711",0.662340830447297,5.60140442285928,3.48214525970911,0.00067646793355127,0.0504167571652623,-0.584411320996116,"chr2",74832655,74833987,0.518379594898725,0.518379594898725,".",1333,1332,"6","lincRNA",51.84,"RP11-259N19.1","not"
"815","ENSG00000226360",0.443740241346052,7.2539094613202,3.44713803273399,0.000762061217842849,0.0557037440196283,-0.859310482958324,"chr3",61742455,61743106,0.516871165644172,0.516871165644172,".",652,651,"6","processed_pseudogene",51.69,"RPL10AP6","not"
"2932","ENSG00000267672",-1.2305188888469,3.27032457938195,-3.42216428194155,0.000829229618361454,0.0594698448941865,-0.67621188089007,"chr19",37091341,37092564,0.413398692810457,0.413398692810457,".",1224,1223,"2","sense_intronic",41.34,"CTD-2293H3.1","not"
"683","ENSG00000224672",-0.630025602076204,6.1943614052643,-3.36530028616028,0.00100344533823546,0.0659165842811801,-1.02393374708376,"chr2",201102089,201102957,0.439585730724971,0.403703797661781,".",869,553,"2","processed_pseudogene",43.96,"AC007272.3","not"
"1594","ENSG00000239040",-1.11035353787021,3.12614950197633,-3.36458801023017,0.00100583054151761,0.0659165842811801,-0.840590198372855,"chr4",55412636,55412738,0.427184466019417,0.427184466019417,".",103,102,"3","misc_RNA",42.72,"Y_RNA","not"
"1699","ENSG00000241772",-0.788503346020122,6.98573234419723,-3.38483982911265,0.000940042063039328,0.0659165842811801,-1.03328798751782,"chr2",138569090,138574458,0.327435276587819,0.373950479503203,".",5369,1048,"1","3prime_overlapping_ncRNA",32.74,"AC092620.2","not"
"2505","ENSG00000260260",0.630075878719581,6.04646949413583,3.365401874142,0.00100310558171675,0.0659165842811801,-0.984185599381162,"chr16",2154797,2155358,0.540925266903915,0.561478758169935,".",562,340,"7","lincRNA",54.09,"SNHG19","not"
"3405","ENSG00000273253",0.690922076691439,6.54448076902163,3.37656367669595,0.000966424618894303,0.0659165842811801,-1.00803550079121,"chr22",50199090,50200837,0.655606407322655,0.679422319781867,".",1748,999,"8","antisense",65.56,"RP3-402G11.26","not"
"2780","ENSG00000265393",0.827527100227392,4.20306293486976,3.35344214734688,0.00104385308107629,0.0672489078164571,-0.886933397536492,"chr8",144512567,144513672,0.660940325497288,0.636249105028364,".",1106,336,"8","antisense",66.09,"CTD-2517M22.17","not"
"3348","ENSG00000272918",-0.578129518612388,6.15434090983701,-3.34740408533613,0.00106500873911149,0.0674683036227129,-1.08403312343985,"chr7",105102838,105105483,0.385109599395314,0.385109599395314,".",2646,2645,"1","antisense",38.51,"CTB-152G17.6","not"
"161","ENSG00000184319",0.417300516610492,7.27079798461328,3.31781437271427,0.00117460773042186,0.0676467270202047,-1.25462429660943,"chr22",50756948,50801309,0.445426265722916,0.433772730958184,"0.4638715245089955",44362,4244,"3","transcribed_unprocessed_pseudogene",44.54,"RPL23AP82","not"
"279","ENSG00000202382",-1.12025027368207,3.43671581004464,-3.32147311787249,0.00116050630163183,0.0676467270202047,-0.961567923406998,"chr2",85367585,85367686,0.441176470588235,0.441176470588235,".",102,101,"3","misc_RNA",44.12,"Y_RNA","not"
"1023","ENSG00000229677",-0.491188151855397,8.25421049428047,-3.32176040261292,0.00115940578425546,0.0676467270202047,-1.34193259149289,"chr7",139049456,139050006,0.453720508166969,0.453720508166969,".",551,550,"4","processed_pseudogene",45.37,"RP11-383F6.1","not"
"1908","ENSG00000248489",1.03060768949206,3.3259853355795,3.31915654598047,0.00116941626951033,0.0676467270202047,-0.96866022378132,"chr5",98929171,98995013,0.398068131767994,0.539750368592084,"0.39737457594976716",65843,475,"7","lincRNA",39.81,"CTD-2007H13.3","not"
"3206","ENSG00000272086",0.717436321626568,4.98977524138709,3.31949362503216,0.00116811583761995,0.0676467270202047,-1.02127360828122,"chr5",32174471,32175272,0.524937655860349,0.524937655860349,".",802,801,"6","lincRNA",52.49,"CTD-2186M15.3","not"
"3735","ENSG00000280195",0.51956499095082,6.62231279263021,3.32852750124745,0.00113376311917636,0.0676467270202047,-1.16407170898307,"chrX",154396878,154398816,0.603403816400206,0.603403816400206,".",1939,1938,"8","antisense",60.34,"XX-FW83563B9.5","not"
"437","ENSG00000213740",-0.468116894060103,7.20860457111804,-3.28069637800374,0.00132700531598218,0.0681614487303819,-1.36742510191409,"chrX",68783472,68785066,0.469592476489028,0.511157692584881,".",1595,1158,"6","processed_pseudogene",46.96,"SERBP1P1","not"
"507","ENSG00000215414",1.04285616741741,4.22432404138818,3.29390359761676,0.00127078032810691,0.0681614487303819,-1.05413578493948,"chrY",13286638,13287378,0.41970310391363,0.41970310391363,".",741,740,"3","processed_pseudogene",41.97,"PSMA6P1","not"
"852","ENSG00000226981",1.01513551531986,3.99850706451744,3.28739046535279,0.00129822369794485,0.0681614487303819,-1.06661913498084,"chr17",20814620,20844257,0.427457993116944,0.682016599136663,"0.41669664139097445",29638,1040,"8","unprocessed_pseudogene",42.75,"ABHD17AP6","not"
"1163","ENSG00000231991",-0.412448360483857,9.01406958395046,-3.29283971953432,0.00127522569597197,0.0681614487303819,-1.49293645054387,"chr9",33624274,33625293,0.483333333333333,0.483333333333333,".",1020,1019,"5","processed_pseudogene",48.33,"ANXA2P2","not"
"1437","ENSG00000235919",0.600064123325849,5.7553004824183,3.29179265565558,0.00127961497999758,0.0681614487303819,-1.18357780278251,"chr1",155562042,155563944,0.620599054125066,0.567358157101892,".",1903,1207,"7","antisense",62.06,"ASH1L-AS1","not"
"2093","ENSG00000253320",-0.518685980441604,7.74566372452288,-3.28742295412726,0.00129808544244838,0.0681614487303819,-1.39806689675673,"chr8",102864300,102977876,0.440414872729514,0.479015062709382,"0.4435933838551425",113577,3677,"5","antisense",44.04,"AZIN1-AS1","not"
"2223","ENSG00000255559",0.662747494023958,5.64361464089952,3.28350139145429,0.00131487325953821,0.0681614487303819,-1.20029002171626,"chr8",145002811,145006046,0.486711990111248,0.486711990111248,".",3236,3235,"5","antisense",48.67,"ZNF252P-AS1","not"
"2378","ENSG00000258920",0.738890229604426,4.83380633420222,3.29229010786468,0.00127752790815006,0.0681614487303819,-1.09672014765347,"chr14",89417354,89419793,0.54672131147541,0.58120275570242,".",2440,1075,"7","antisense",54.67,"FOXN3-AS1","not"
"236","ENSG00000198658",0.754551477961328,4.37548357560038,3.27589650161409,0.00134800805096482,0.0683170480228969,-1.11751401971258,"chr1",148146395,148149566,0.673076923076923,0.668813045303094,".",3172,931,"8","unprocessed_pseudogene",67.31,"ABHD17AP1","not"
"668","ENSG00000224442",-0.668280889639951,7.4399585382983,-3.27140279490587,0.00136795182572742,0.0684155906524988,-1.42086847938342,"chr2",197028711,197030143,0.436147941381717,0.444839483050994,".",1433,1113,"4","processed_pseudogene",43.61,"AC017035.2","not"
"199","ENSG00000189343",0.364834968736167,10.840561178242,3.26466986610509,0.00139834937775547,0.0690276101928381,-1.72186260488752,"chr17",19445970,19446852,0.608154020385051,0.608154020385051,".",883,882,"8","processed_pseudogene",60.82,"RPS2P46","not"
"1936","ENSG00000249087",0.495548024992531,6.07155712040551,3.25891785958535,0.0014248160904313,0.0694323840990944,-1.3122482205903,"chr1",23368997,23371839,0.515652479774886,0.504367836544222,"0.5225225225225225",2843,3296,"6","antisense",51.57,"ZNF436-AS1","not"
"3398","ENSG00000273221",-0.456830372066669,8.57869911155064,-3.23631937186185,0.00153338658515561,0.0735606576531079,-1.62647687429599,"chr1",111184415,111185061,0.329211746522411,0.329211746522411,".",647,646,"1","antisense",32.92,"RP5-1180E21.5","not"
"3527","ENSG00000274963",-0.508088791571147,8.78021158986472,-3.23133404623208,0.00155835322527666,0.0735606576531079,-1.65465054452496,"chr1",150568971,150569269,0.508361204013378,0.508361204013378,".",299,298,"6","misc_RNA",50.84,"RN7SL600P","not"
"3714","ENSG00000278743",0.804055196452659,4.29438204924102,3.22950829581657,0.00156759096814042,0.0735606576531079,-1.2353831139864,"chr12",25385670,25386241,0.601398601398601,0.601398601398601,".",572,571,"8","lincRNA",60.14,"RP11-707G18.1","not"
"988","ENSG00000229054",-0.937451904172974,5.09459813809244,-3.21902493529803,0.00162162818702224,0.0749576185929756,-1.33720678954977,"chr7",33036212,33036382,0.526315789473684,0.526315789473684,".",171,170,"6","processed_pseudogene",52.63,"RPS29P14","not"
"2770","ENSG00000264895",-0.492389715324411,8.66788871845944,-3.21242692142649,0.00165652195785581,0.0749576185929756,-1.70094342310402,"chr17",51249579,51251748,0.36405529953917,0.36405529953917,".",2170,2169,"1","sense_intronic",36.41,"RP11-421E14.2","not"
"3628","ENSG00000276791",0.696287830536309,6.40193803172325,3.21364430666443,0.00165003166706293,0.0749576185929756,-1.46264975674031,"chr16",2777319,2780568,0.588615384615385,0.588615384615385,".",3250,3249,"8","lincRNA",58.86,"CTD-2270P14.5","not"
"1804","ENSG00000244710",-0.931091942021533,3.66598642446311,-3.19261609310061,0.00176553563247626,0.075891473522315,-1.32495519612815,"chr6",106283413,106283711,0.548494983277592,0.548494983277592,".",299,298,"7","misc_RNA",54.85,"RN7SL47P","not"
"2013","ENSG00000250878",-1.10238227259665,2.96650719166999,-3.1975047747296,0.00173803116186735,0.075891473522315,-1.29955949603598,"chr13",102880099,102896033,0.371007216818324,0.39880181250824,"0.3627232630505758",15935,2450,"2","transcribed_unprocessed_pseudogene",37.1,"METTL21EP","not"
"2432","ENSG00000259635",-1.06965743807881,3.15554455359202,-3.20311530345047,0.00170695679609478,0.075891473522315,-1.28507825174859,"chr15",64701248,64719602,0.484609098338327,0.554479761719841,".",18355,1607,"7","antisense",48.46,"AC100830.3","not"
"2724","ENSG00000263345",1.06707116876079,4.00684497665916,3.19898832803776,0.00172976360963479,0.075891473522315,-1.30801498389689,"chr17",2375061,2379306,0.575836081017428,0.571256882595834,"0.6305441910278679",4246,1229,"7","antisense",57.58,"RP1-59D14.5","not"
"3656","ENSG00000277452",-0.490356682473044,8.3929675173394,-3.19060093801702,0.00177699056655776,0.075891473522315,-1.74658957067539,"chr1",150566562,150566860,0.528428093645485,0.528428093645485,".",299,298,"6","misc_RNA",52.84,"RN7SL473P","not"
"2297","ENSG00000257337",1.04072165945273,4.46158558264345,3.18640667826592,0.00180105431168352,0.0760645270967675,-1.36223164093524,"chr12",53014596,53054438,0.471852019175263,0.502078218718544,"0.468667963804354",39843,5613,"6","antisense",47.19,"RP11-983P16.4","not"
"1400","ENSG00000235374",0.762692533069016,4.75859742755637,3.17599078489035,0.00186212985460803,0.0769498636604359,-1.41499554842592,"chr21",45070952,45074165,0.580896079651525,0.593656480361171,".",3214,2634,"8","transcribed_processed_pseudogene",58.09,"SSR4P1","not"
"2082","ENSG00000252965",-0.874492765150706,3.49053974977144,-3.17592753100441,0.00186250656584059,0.0769498636604359,-1.36074528507369,"chr3",125528244,125528349,0.490566037735849,0.490566037735849,".",106,105,"5","misc_RNA",49.06,"Y_RNA","not"
"3787","ENSG00000283103",0.478463831233964,6.56525971463287,3.1623236657957,0.00194519045681725,0.0795018164124984,-1.64399546389188,"chr19",58310449,58326933,0.482499241734911,0.488112509925039,"0.47902894688100883",16485,2408,"5","antisense",48.25,"LLNLR-245B6.1","not"
"245","ENSG00000199627",-1.12269677465037,3.79352107897581,-3.13301548934268,0.00213503602190554,0.0807642988566337,-1.4864976107169,"chr7",131054886,131054992,0.420560747663551,0.420560747663551,".",107,106,"3","snRNA",42.06,"RNU6-1010P","not"
"1236","ENSG00000233016",0.450469476468687,9.65697900736467,3.1394172179624,0.00209215784758609,0.0807642988566337,-1.98964694562889,"chr9",136721366,136728184,0.589382607420443,0.604130963301067,"0.5572472573530648",6819,4339,"8","antisense",58.94,"SNHG7","not"
"1363","ENSG00000234797",0.862585465877952,7.3674350788596,3.13138810135867,0.00214606529453302,0.0807642988566337,-1.79776252071959,"chr15",59768352,59769146,0.422641509433962,0.422641509433962,".",795,794,"3","processed_pseudogene",42.26,"RPS3AP6","not"
"1607","ENSG00000239569",0.462991461159439,7.45174474431462,3.1415690967024,0.00207792510205726,0.0807642988566337,-1.79142412215506,"chr7",105013425,105014321,0.644370122630992,0.641213432560325,".",897,734,"8","antisense",64.44,"KMT2E-AS1","not"
"2260","ENSG00000256448",-0.425759107092104,7.9369213498538,-3.13439594493752,0.00212572151411203,0.0807642988566337,-1.87006233690747,"chr11",73405297,73410682,0.49090233939844,0.490926435218525,"0.49621928166351614",5386,341,"5","antisense",49.09,"RP11-809N8.4","not"
"2283","ENSG00000257122",-0.329187095608587,8.62303781870476,-3.14589752504745,0.00204956811711499,0.0807642988566337,-1.89292993438145,"chr16",22418672,22437715,0.489813064482252,0.537182908920641,"0.48116574801222234",19044,3359,"7","transcribed_unprocessed_pseudogene",48.98,"RRN3P3","not"
"3094","ENSG00000270210",-0.670143384908833,5.75026088651425,-3.13374566291452,0.00213010453190921,0.0807642988566337,-1.65147744684848,"chr2",28425945,28426719,0.461935483870968,0.461935483870968,".",775,774,"4","lincRNA",46.19,"RP11-373D23.3","not"
"3118","ENSG00000270802",-0.605284375019137,5.51419586497907,-3.15372937783835,0.00199916979869987,0.0807642988566337,-1.56631479736105,"chr19",15338948,15339237,0.379310344827586,0.379310344827586,".",290,289,"1","processed_pseudogene",37.93,"AC005776.1","not"
"1015","ENSG00000229585",-0.608739576153989,7.52764548894217,-3.12658873715402,0.0021789003859631,0.0811960820298602,-1.8554190061232,"chr4",53986587,53987058,0.438559322033898,0.438559322033898,".",472,471,"3","processed_pseudogene",43.86,"RPL21P44","not"
"581","ENSG00000221792",0.869947676912124,3.92646197374854,3.11940511126875,0.00222891875530688,0.0822535940671987,-1.5216840167752,"chr15",43793659,43793759,0.544554455445545,0.544554455445545,".",101,100,"7","miRNA",54.46,"MIR1282","not"
"1927","ENSG00000248791",-0.706867924793933,5.90244086516025,-3.11075508780472,0.00229055913170083,0.0837155313422581,-1.72261191454823,"chr5",14620020,14621313,0.35935085007728,0.35935085007728,".",1294,1293,"1","processed_pseudogene",35.94,"CTD-2165H16.3","not"
"1660","ENSG00000240750",-1.11152996195715,2.90768030689427,-3.10102208400951,0.00236180317119339,0.0846922535220766,-1.55552243762615,"chr1",28031884,28032180,0.552188552188552,0.552188552188552,".",297,296,"7","misc_RNA",55.22,"RN7SL559P","not"
"3350","ENSG00000272931",0.791332500758558,4.55855390816257,3.10101623625736,0.00236184658598793,0.0846922535220766,-1.60308872374974,"chr1",89820174,89820868,0.499280575539568,0.499280575539568,".",695,694,"5","lincRNA",49.93,"RP5-943J3.2","not"
"1054","ENSG00000230107",1.02691458166662,4.36841078554343,3.08282080191281,0.00250056935328273,0.0873422509755048,-1.64537436690797,"chr22",42438023,42446195,0.533096782087361,0.562965493019182,"0.5295646673918877",8173,568,"7","lincRNA",53.31,"CTA-126B4.7","not"
